place_id,name,address,primary_type,primary_type_display,all_types,latitude,longitude,business_status,rating,user_rating_count,price_level,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,accepts_nfc,search_location,search_category,search_query,collected_at
ChIJlWND7luLGGARN97mFSRqCOM,ファミリーマート 渋谷明治通り店,日本、〒150-0002 東京都渋谷区渋谷３丁目１２−２２ ファミリーマート 内,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.656378,139.7056701,OPERATIONAL,3.8,52,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181208
ChIJXVCLNKiMGGARorOstUhCAgk,ファミリーマート 渋谷１０９前店,日本、〒150-0042 東京都渋谷区宇田川町２６−４ 1F,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.6599153,139.698848,OPERATIONAL,3,49,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181259
ChIJDcNMkluLGGARxsmX07htp1E,ローソン 渋谷三丁目明治通り店,日本、〒150-0002 東京都渋谷区渋谷３丁目１５−３,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.6557854,139.7056762,OPERATIONAL,3.6,29,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181271
ChIJDbBw8KeMGGARLD_t9-jeZiY,ファミリーマート 渋谷一丁目店,日本、〒150-0002 東京都渋谷区渋谷１丁目２４−６ マトリクス・ツービル １F,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.660787,139.7020506,OPERATIONAL,3,63,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181280
ChIJIVsofFmLGGARJQeNnvVxCnc,ファミリーマート 渋谷三丁目店,日本、〒150-0002 東京都渋谷区渋谷３丁目１７−２,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.656749399999995,139.7042442,OPERATIONAL,3.3,47,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181289
ChIJy1iBgVeLGGARGz2NG2eQKOs,ファミリーマート 渋谷宇田川交番前店,日本、〒150-0042 東京都渋谷区宇田川町３２−１５,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.6609711,139.69786299999998,OPERATIONAL,3.1,79,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181298
ChIJ9-wloluLGGARA2XgONaPlyM,ファミリーマート 渋谷ガーデンフロント店,日本、〒150-0002 東京都渋谷区渋谷３丁目２６−３ Nbf渋谷ガーデンフロント,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.6549937,139.70505670000003,OPERATIONAL,3.2,59,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181305
ChIJkQhjAKqMGGARt6U_nSNAIQE,ファミリーマート 道玄坂中央店,日本、〒150-0043 東京都渋谷区道玄坂２丁目１１−１ JMFビル渋谷03,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.6578526,139.69616299999998,OPERATIONAL,3.6,66,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181314
ChIJM9y7bFmLGGARiq1BR085Tas,セブン-イレブン 渋谷３丁目六本木通り店,日本、〒150-0002 東京都渋谷区渋谷３丁目６−１ イースト渋谷ビル １Ｆ,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.657947,139.7047806,OPERATIONAL,2.6,47,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181320
ChIJkS93iFuLGGARVRK0VCutt8o,セブン-イレブン 渋谷３丁目明治通り店,日本、〒150-0002 東京都渋谷区渋谷３丁目１３−５,convenience_store,コンビニエンスストア,convenience_store|food_store|food|store|point_of_interest|establishment,35.655708499999996,139.7063246,OPERATIONAL,3.6,62,,True,True,False,True,Tokyo_Shibuya,convenience_store,コンビニ,2026-03-16T17:51:47.181327
